datetime,power,global_radiation,temperature,Year,Month,Day,date
5/14/19 12:30,2.092,1060.283,17.40,2019,5,14,5/14/2019
6/8/20 15:15,2.092,1059.462,24.10,2020,6,8,6/8/2020
6/25/20 13:00,2.092,1020.183,31.70,2020,6,25,6/25/2020
7/4/20 12:45,2.092,967.911,26.85,2020,7,4,7/4/2020
6/2/19 12:45,2.091,1025.14,33.75,2019,6,2,6/2/2019
4/25/20 13:15,2.091,1040.39,19.75,2020,4,25,4/25/2020
5/6/20 12:15,2.091,1001.952,18.95,2020,5,6,5/6/2020
6/2/20 13:00,2.091,1051.501,30.70,2020,6,2,6/2/2020
6/3/20 13:00,2.091,1050.895,31.50,2020,6,3,6/3/2020
7/3/19 12:45,2.09,1025.354,27.15,2019,7,3,7/3/2019
7/4/19 13:00,2.09,1030.985,27.85,2019,7,4,7/4/2019
5/6/20 14:15,2.09,1052.623,20.20,2020,5,6,5/6/2020
5/18/20 13:45,2.09,1025.43,27.35,2020,5,18,5/18/2020
5/21/20 13:00,2.09,1061.321,30.85,2020,5,21,5/21/2020
6/2/20 12:45,2.09,1025.87,30.10,2020,6,2,6/2/2020
6/3/20 12:30,2.09,1035.448,31.90,2020,6,3,6/3/2020
6/2/19 13:30,2.089,1039.07,34.10,2019,6,2,6/2/2019
7/1/19 13:15,2.089,1039.542,31.25,2019,7,1,7/1/2019
5/7/20 12:45,2.089,1025.146,24.40,2020,5,7,5/7/2020
9/4/20 14:00,2.089,1054.5,31.55,2020,9,4,9/4/2020
5/17/20 12:15,2.088,1006.779,21.65,2020,5,17,5/17/2020
5/29/19 14:00,2.087,1125.953,23.00,2019,5,29,5/29/2019
9/9/19 13:30,2.087,1013.021,23.35,2019,9,9,9/9/2019
4/25/20 13:30,2.087,1041.808,19.55,2020,4,25,4/25/2020
5/31/20 14:30,2.087,1043.543,25.10,2020,5,31,5/31/2020
6/24/20 13:00,2.087,1026.63,31.55,2020,6,24,6/24/2020
7/13/20 13:15,2.087,1120.586,29.60,2020,7,13,7/13/2020
4/25/20 13:00,2.086,1032.298,19.35,2020,4,25,4/25/2020
5/17/20 14:15,2.086,1041.839,23.50,2020,5,17,5/17/2020
5/21/20 12:45,2.086,1031.583,30.00,2020,5,21,5/21/2020
5/26/20 13:30,2.086,1027.114,25.45,2020,5,26,5/26/2020
5/1/19 12:45,2.085,1043.586,24.35,2019,5,1,5/1/2019
6/2/19 13:15,2.085,1039.07,34.00,2019,6,2,6/2/2019
7/18/19 12:30,2.085,1028.839,30.35,2019,7,18,7/18/2019
5/12/20 14:30,2.085,1032.332,18.55,2020,5,12,5/12/2020
6/1/20 14:00,2.085,1043.055,29.60,2020,6,1,6/1/2020
7/21/20 12:45,2.085,1021.552,28.50,2020,7,21,7/21/2020
7/23/20 12:45,2.085,1001.492,28.65,2020,7,23,7/23/2020
7/4/19 12:45,2.084,1015.483,27.30,2019,7,4,7/4/2019
4/27/20 13:00,2.084,1000.127,24.40,2020,4,27,4/27/2020
5/26/20 13:15,2.084,1003.677,25.65,2020,5,26,5/26/2020
6/1/19 12:45,2.083,959.943,30.60,2019,6,1,6/1/2019
7/4/19 14:00,2.083,1040.526,28.50,2019,7,4,7/4/2019
7/5/19 13:00,2.082,1024.04,31.55,2019,7,5,7/5/2019
4/22/20 13:15,2.082,1044.599,23.75,2020,4,22,4/22/2020
5/7/20 14:00,2.082,1040.02,25.90,2020,5,7,5/7/2020
5/19/20 12:30,2.082,785.39,28.60,2020,5,19,5/19/2020
5/21/20 12:30,2.082,1006.742,30.45,2020,5,21,5/21/2020
6/25/20 12:45,2.082,1004.85,32.15,2020,6,25,6/25/2020
7/9/20 12:45,2.082,1006.137,30.25,2020,7,9,7/9/2020
4/25/20 13:45,2.081,1041.28,20.35,2020,4,25,4/25/2020
5/7/20 12:30,2.081,1011.171,24.15,2020,5,7,5/7/2020
5/27/20 14:00,2.081,1038.736,27.65,2020,5,27,5/27/2020
7/9/20 12:30,2.081,1031.954,29.75,2020,7,9,7/9/2020
5/26/20 14:15,2.08,1027.16,26.05,2020,5,26,5/26/2020
7/9/20 13:00,2.08,1002.449,30.45,2020,7,9,7/9/2020
4/22/20 13:30,2.079,1051.057,24.10,2020,4,22,4/22/2020
